"","ORISPL","Facility","Net Power Output 2018 (GWh)","Primary Fuel Category","Announced Retirment Year","Weighted Sum Model Score (Prioritization Rank)","Emissions Health Costs (Millions) [Percentile]","Hazardous Air Pollutant Hazard (Billions) [Percentile]","Carbon Dioxide Emissions (Megatons) [Percentile]","Vulnerable Population within 5km (total) [Percentile]","Vulnerable Population within 10km (total) [Percentile]","Vulnerable Population within 50km (total) [Percentile]"
"74","1250","Lawrence Energy Center, Douglas, KS",2812,"Coal",NA,"281.6 (74)","$24.4 [91]","2.3 [36]","3.31 [95]","6,372 [60]","29,582 [66]","201,994 [55]"
"75","3140","Brunner Island, LLC, York, PA",1853.3,"Coal",NA,"281.4 (75)","$135.2 [97]","6.8 [41]","1.87 [92]","2,395 [43]","8,502 [48]","359,190 [65]"
"76","2878","Bay Shore, Lucas, OH",1088,"Oil",NA,"281 (76)","$127.3 [96]","1 [33]","1.66 [91]","3,753 [51]","43,817 [73]","232,956 [58]"
"77","126","Irvington Generating Station, Pima, AZ",627,"Gas",NA,"280.4 (77)","$11 [86]","0.3 [25]","0.95 [88]","44,038 [88]","177,312 [90]","427,099 [68]"
"78","3935","John E Amos, Putnam, WV",12984.7,"Coal",NA,"279.7 (78)","$155.6 [97]","12.3 [43]","13.71 [100]","1,676 [37]","8,443 [47]","82,477 [34]"
"79","1743","St. Clair, St Clair, MI",4528.5,"Coal","2022","278.4 (79)","$556.8 [100]","49 [48]","5.2 [96]","814 [25]","2,656 [29]","155,178 [49]"
"80","136","Seminole (136), Putnam, FL",7708.4,"Coal",NA,"277.9 (80)","$159.8 [97]","99.3 [50]","8.16 [98]","118 [2]","8,390 [47]","152,350 [49]"
"81","377","Grayson Power Plant, Los Angeles, CA",137.5,"Gas",NA,"277.6 (81)","$4.9 [77]","0.6 [29]","0.12 [75]","83,919 [94]","431,916 [97]","5,874,370 [97]"
"82","2866","W H Sammis, Jefferson, OH",4766.6,"Coal",NA,"277.4 (82)","$119.1 [96]","42.1 [48]","5.68 [97]","724 [23]","4,968 [39]","154,473 [49]"
"83","3396","Bull Run, Anderson, TN",1410.8,"Coal","2024","277.3 (83)","$13 [87]","55.5 [49]","1.59 [91]","2,175 [41]","14,845 [55]","207,142 [55]"
"84","2828","Cardinal, Jefferson, OH",10038.3,"Coal",NA,"277.2 (84)","$463.1 [100]","20.1 [45]","10.36 [99]","790 [24]","4,024 [36]","104,992 [41]"
"85","130","Cross, Berkeley, SC",9544.6,"Coal",NA,"277.1 (85)","$114.9 [96]","33.2 [47]","10.69 [99]","1,006 [28]","2,259 [26]","168,771 [52]"
"86","6009","White Bluff, Jefferson, AR",8252,"Coal",NA,"276.7 (86)","$422.9 [99]","51.5 [49]","9.25 [99]","592 [19]","1,070 [15]","215,067 [56]"
