"","ORISPL","Facility","Net Power Output 2018 (GWh)","Primary Fuel Category","Announced Retirment Year","Weighted Sum Model Score (Prioritization Rank)","Emissions Health Costs (Millions) [Percentile]","Hazardous Air Pollutant Hazard (Billions) [Percentile]","Carbon Dioxide Emissions (Megatons) [Percentile]","Vulnerable Population within 5km (total) [Percentile]","Vulnerable Population within 10km (total) [Percentile]","Vulnerable Population within 50km (total) [Percentile]"
"322","2292","Sarpy County Station, Sarpy, NE",31,"Gas",NA,"237.7 (322)","$3.8 [74]","0 [16]","0.11 [74]","29,485 [82]","87,843 [81]","228,261 [57]"
"323","60903","Salem Harbor Station NGCC, Essex, MA",314.4,"Gas",NA,"237.6 (323)","$4.1 [75]","NA [NA]","0.35 [82]","24,629 [79]","71,129 [79]","1,023,455 [83]"
"324","57908","Central Utility Plant Cincinnati, Hamilton, OH",170.5,"Gas",NA,"237.5 (324)","$4.3 [76]","NA [NA]","0.14 [76]","65,758 [92]","193,246 [91]","501,155 [72]"
"325","61238","NY - Presbyt. Hospital - 525 E 68TH St, New York, NY",46.5,"Gas",NA,"236.9 (325)","$4.4 [76]","NA [NA]","0.03 [61]","460,488 [99]","2,124,667 [100]","7,246,705 [99]"
"326","7913","Hell Gate, Bronx, NY",37.1,"Gas",NA,"236.9 (326)","$6.1 [81]","NA [NA]","0.03 [57]","793,556 [100]","2,231,520 [100]","7,219,095 [99]"
"327","6254","Ottumwa, Wapello, IA",3735.8,"Coal",NA,"236.7 (327)","$65.5 [94]","5.9 [40]","4.42 [96]","46 [0]","498 [7]","25,349 [15]"
"328","58205","Grand Ave Plant, Jackson, MO",33.5,"Gas",NA,"236.6 (328)","$4.1 [76]","NA [NA]","0.18 [78]","38,065 [86]","153,481 [89]","542,161 [74]"
"329","57122","UCI Facilities Management Central Plant, Orange, CA",95.9,"Gas",NA,"236.5 (329)","$3.8 [74]","NA [NA]","0.07 [70]","43,579 [87]","238,731 [93]","3,775,415 [95]"
"330","10262","California Institute of Technology, Los Angeles, CA",90.1,"Gas",NA,"236.3 (330)","$3.2 [71]","NA [NA]","0.07 [69]","109,235 [96]","434,211 [97]","6,609,533 [98]"
"331","8219","Ray D Nixon, El Paso, CO",1131.7,"Coal","2029","236.3 (331)","$4.1 [76]","1.5 [34]","1.14 [89]","NA [NA]","10,903 [51]","272,774 [61]"
"332","54851","MMSD Jones Island Wastewater, Milwaukee, WI",89.8,"Gas",NA,"236.2 (332)","$5 [78]","NA [NA]","0.07 [70]","109,594 [96]","270,363 [94]","574,994 [75]"
"333","56080","SJ/SC WPCP, Santa Clara, CA",12.2,"Gas","2021","236.2 (333)","$8.1 [83]","NA [NA]","0.04 [64]","42,345 [87]","179,760 [90]","1,729,075 [89]"
"334","58198","Parnassus Central Utility Plant, San Francisco, CA",64.9,"Gas",NA,"235.8 (334)","$3.6 [73]","NA [NA]","0.06 [68]","231,249 [98]","408,488 [96]","1,783,988 [90]"
"335","1384","John S. Cooper, Pulaski, KY",562.1,"Coal",NA,"235.8 (335)","$11.3 [86]","0.5 [28]","0.63 [86]","1,260 [32]","7,581 [45]","66,175 [30]"
"336","57585","Oxnard Paper Mill, Ventura, CA",189,"Gas",NA,"235.6 (336)","$5.2 [78]","NA [NA]","0.12 [75]","72,369 [93]","136,669 [88]","364,489 [65]"
"337","6772","Hugo, Choctaw, OK",1641.1,"Coal",NA,"235.6 (337)","$89.2 [95]","4.9 [39]","2.13 [93]","NA [NA]","659 [9]","31,070 [17]"
"338","58429","Sunshine Gas Producers, Los Angeles, CA",148.7,"Other",NA,"235.5 (338)","$4.1 [75]","NA [NA]","0.12 [75]","14,402 [72]","151,593 [89]","3,332,080 [95]"
"339","10496","Kern River Cogeneration, Kern, CA",729.5,"Gas",NA,"235.4 (339)","$10.6 [85]","NA [NA]","0.53 [84]","2,807 [46]","89,644 [82]","428,922 [69]"
"340","54829","Bristol Myers Squibb New Brunswick, Middlesex, NJ",55,"Gas",NA,"235.2 (340)","$4.7 [77]","NA [NA]","0.05 [66]","73,576 [93]","152,528 [89]","3,277,182 [95]"
"341","302","Cabrillo Power I Encina Power Station, San Diego, CA",296.7,"Gas",NA,"235.2 (341)","$1 [51]","0.5 [27]","0.31 [81]","9,596 [66]","73,136 [79]","861,078 [81]"
"342","1572","Dickerson, Montgomery, MD",276.4,"Coal",NA,"235.2 (342)","$37.6 [92]","0.4 [26]","0.39 [83]","91 [1]","1,428 [19]","1,077,176 [84]"
"343","57978","Lodi Energy Center, San Joaquin, CA",910.6,"Gas",NA,"234.8 (343)","$5.4 [79]","NA [NA]","0.59 [85]","5,220 [57]","54,020 [75]","824,940 [81]"
"344","2817","Leland Olds, Mercer, ND",3359.5,"Coal",NA,"234.8 (344)","$61.5 [94]","19.2 [45]","4.12 [95]","NA [NA]","NA [NA]","2,128 [1]"
"345","54809","University of Washington Power Plant, King, WA",18.7,"Gas",NA,"234.7 (345)","$3.9 [74]","NA [NA]","0.1 [73]","59,913 [91]","163,702 [90]","953,578 [82]"
"346","1400","Teche Power Station, St Mary, LA",887.6,"Gas",NA,"234.4 (346)","$4.5 [77]","0.6 [29]","0.55 [85]","5,303 [57]","7,792 [46]","67,367 [30]"
"347","57940","Wausau Paper Middletown, Butler, OH",6,"Coal",NA,"234.3 (347)","$49.4 [93]","NA [NA]","0.08 [71]","14,530 [72]","23,859 [62]","640,592 [77]"
"348","54618","Ingredion Winston Salem, Forsyth, NC",29.4,"Other",NA,"234.3 (348)","$4.9 [78]","NA [NA]","0.26 [80]","23,810 [79]","73,688 [79]","486,603 [72]"
"349","113","Cholla, Navajo, AZ",3615,"Coal",NA,"234.1 (349)","$16.9 [88]","37.5 [47]","4.47 [96]","NA [NA]","NA [NA]","13,953 [9]"
"350","54529","Wheelabrator Ridge Energy, Polk, FL",214.1,"Other",NA,"233.7 (350)","$2.5 [67]","0 [15]","0.56 [85]","4,677 [55]","43,893 [73]","515,964 [73]"
"351","7838","Remington Combustion Turbine Station, Fauquier, VA",954.3,"Gas",NA,"233.7 (351)","$5.8 [80]","0.2 [23]","0.58 [85]","1,681 [37]","3,742 [34]","386,832 [66]"
"352","1979","Hibbing, St Louis, MN",14,"Coal",NA,"233.5 (352)","$11.2 [86]","2.6 [37]","0.19 [78]","3,316 [49]","5,083 [39]","16,434 [10]"
"353","50427","Bronx Zoo, Bronx, NY",20.9,"Gas",NA,"233.5 (353)","$11.7 [86]","NA [NA]","0.02 [48]","996,919 [100]","1,775,575 [99]","7,157,463 [99]"
"354","1122","Ames, Story, IA",186.1,"Gas",NA,"233.1 (354)","$2.3 [65]","0.8 [31]","0.15 [77]","18,003 [75]","22,691 [61]","122,442 [44]"
"355","10861","Archer Daniels Midland Des Moines, Polk, IA",26.5,"Coal",NA,"233.1 (355)","$10.6 [85]","NA [NA]","0.14 [76]","33,327 [84]","75,207 [79]","165,061 [51]"
"356","50118","Hal C Weaver Power Plant, Travis, TX",238.8,"Gas",NA,"233 (356)","$2.3 [65]","NA [NA]","0.28 [80]","61,068 [91]","215,062 [92]","728,404 [79]"
"357","350","Ormond Beach Generating Station, Ventura, CA",186,"Gas","2024","232.9 (357)","$1.2 [55]","0.2 [22]","0.13 [76]","46,234 [88]","123,471 [86]","369,179 [66]"
"358","58083","Fullerton Mill CHP, Orange, CA",67.2,"Gas",NA,"232.8 (358)","$2.8 [68]","NA [NA]","0.06 [67]","132,253 [97]","414,031 [97]","6,424,319 [97]"
"359","54980","Ocean County Landfill, Ocean, NJ",111.5,"Other",NA,"232.8 (359)","$27.3 [91]","NA [NA]","0.07 [70]","10,259 [67]","62,101 [77]","481,208 [72]"
"360","50969","MU Combined Heat and Power Plant, Boone, MO",63.2,"Gas",NA,"232.5 (360)","$20.2 [90]","NA [NA]","0.29 [81]","22,523 [78]","42,443 [72]","87,285 [36]"
"361","58326","PWD Northeast WPCP Biogas Cogen Plant, Philadelphia, PA",29.9,"Other",NA,"232.5 (361)","$13 [87]","NA [NA]","0.02 [50]","171,686 [97]","651,733 [98]","1,845,160 [90]"
"362","59254","Johnston LFG Turbine Plant, Providence, RI",151.7,"Other",NA,"232.1 (362)","$9 [84]","NA [NA]","0.13 [76]","6,531 [60]","123,197 [86]","452,687 [70]"
"363","54775","University of Iowa Main Power Plant, Johnson, IA",0.9,"Gas",NA,"232.1 (363)","$21.1 [90]","NA [NA]","0.25 [80]","24,365 [79]","33,535 [68]","99,462 [40]"
"364","56036","WWTP Power Generation Station, Alameda, CA",25.3,"Other",NA,"232 (364)","$12.6 [87]","NA [NA]","0.02 [52]","85,241 [94]","255,023 [93]","1,984,478 [92]"
"365","55089","Taft Cogeneration Facility, St Charles, LA",3437.5,"Gas",NA,"231.9 (365)","$8.4 [84]","NA [NA]","2.47 [94]","2,142 [41]","10,209 [50]","503,313 [73]"
"366","58619","Transamerica Pyramid, San Francisco, CA",3.1,"Gas",NA,"231.9 (366)","$9.6 [85]","NA [NA]","0.02 [53]","136,438 [97]","331,535 [95]","1,854,408 [91]"
"367","6136","Gibbons Creek Steam Electric Station, Grimes, TX",786.5,"Coal",NA,"231.8 (367)","$11.7 [86]","4 [39]","0.97 [88]","NA [NA]","865 [12]","121,297 [44]"
"368","50152","Dow St Charles Operations, St Charles, LA",1741.2,"Gas",NA,"231.8 (368)","$16.6 [88]","NA [NA]","1.6 [91]","1,417 [34]","12,137 [52]","504,417 [73]"
"369","127","Oklaunion Power Station, Wilbarger, TX",3320.1,"Coal",NA,"231.7 (369)","$41.9 [93]","4.9 [39]","4.03 [95]","NA [NA]","497 [7]","11,937 [7]"
"370","54748","Port Neches Plant, Jefferson, TX",178.3,"Gas",NA,"231.6 (370)","$2.5 [66]","0.2 [23]","0.18 [78]","12,802 [70]","45,858 [73]","156,712 [50]"
"371","55309","Air Products Port Arthur, Jefferson, TX",1090.3,"Gas",NA,"231.5 (371)","$9.7 [85]","NA [NA]","0.85 [88]","5,745 [58]","38,842 [71]","150,426 [48]"
"372","50569","DFW Gas Recovery, Denton, TX",87.9,"Other",NA,"231.2 (372)","$3.3 [72]","NA [NA]","0.08 [71]","36,431 [85]","127,536 [87]","2,521,762 [94]"
"373","10305","Dutchess Cnty Resource Recovery Facility, Dutchess, NY",23.4,"Other",NA,"231.2 (373)","$30.2 [91]","NA [NA]","0.13 [75]","5,972 [59]","38,227 [70]","313,002 [63]"
"374","55051","Axiall Plaquemine, Iberville, LA",1606.4,"Gas",NA,"231 (374)","$14.1 [88]","NA [NA]","1.18 [90]","3,285 [49]","10,902 [51]","296,830 [62]"
"375","59","Platte, Hall, NE",536.7,"Coal",NA,"230.7 (375)","$12.4 [87]","0.3 [25]","0.7 [87]","712 [22]","17,719 [58]","33,051 [18]"
"376","1926","Red Wing, Goodhue, MN",121.3,"Other","2027","230.6 (376)","$8.2 [83]","1.2 [33]","0.24 [80]","2,965 [47]","3,535 [34]","42,337 [21]"
"377","708","Hammond, Floyd, GA",181.4,"Coal",NA,"230.6 (377)","$9.5 [85]","1.3 [34]","0.27 [80]","828 [25]","2,701 [30]","109,762 [41]"
"378","7212","Darbytown Combustion Turbine, Henrico, VA",85.3,"Gas",NA,"230.3 (378)","$2.5 [67]","0 [17]","0.07 [70]","20,526 [77]","116,953 [85]","420,082 [68]"
"379","58165","College of New Jersey, Mercer, NJ",27.2,"Gas",NA,"230.3 (379)","$17.2 [89]","NA [NA]","0.02 [55]","40,176 [87]","109,779 [85]","1,619,061 [88]"
"380","57584","University of California San Diego, San Diego, CA",201.1,"Gas",NA,"230.3 (380)","$3.4 [72]","NA [NA]","0.13 [76]","26,351 [80]","89,303 [82]","1,341,488 [87]"
"381","3456","Newman, El Paso, TX",721.4,"Gas","2026","230 (381)","$3.1 [70]","NA [NA]","1.88 [92]","4,121 [53]","46,140 [73]","647,571 [77]"
"382","2076","Asbury, Jasper, MO",842.9,"Coal",NA,"229.8 (382)","$19.2 [89]","1 [32]","0.99 [89]","274 [8]","1,822 [23]","58,100 [28]"
"383","54637","JCO Oxides Olefins Plant, Jefferson, TX",525.5,"Gas",NA,"229.1 (383)","$5.8 [80]","NA [NA]","0.44 [84]","15,526 [73]","46,557 [73]","155,807 [49]"
"384","56349","Quail Run Energy Center, Ector, TX",973.8,"Gas",NA,"228.9 (384)","$1.4 [56]","0.1 [21]","0.78 [87]","13,348 [71]","56,465 [76]","139,994 [47]"
"385","54236","Pfizer Groton Plant, New London, CT",52.6,"Gas",NA,"228.4 (385)","$4 [75]","0.1 [19]","0.1 [73]","19,025 [76]","28,214 [65]","117,476 [43]"
"386","3168","Richmond, Philadelphia, PA",13.4,"Oil",NA,"228.2 (386)","$7.4 [82]","0 [6]","0.01 [45]","142,636 [97]","614,573 [98]","1,841,689 [90]"
"387","55238","Rockford Energy Center, Winnebago, IL",191.6,"Gas",NA,"228 (387)","$0.7 [47]","1.2 [33]","0.12 [75]","35,953 [85]","73,562 [79]","196,673 [54]"
"388","60302","Keys Energy Center, Prince Georges, MD",1375.9,"Gas",NA,"228 (388)","$5.5 [79]","NA [NA]","0.57 [85]","1,348 [33]","36,000 [69]","1,703,589 [89]"
"389","55218","Hinds Energy Facility, Hinds, MS",2060.6,"Gas",NA,"227.9 (389)","$0.5 [42]","0.3 [24]","1.29 [90]","20,902 [77]","84,935 [81]","229,315 [57]"
"390","10776","E F Oxnard Energy Facility, Ventura, CA",157.1,"Gas",NA,"227.7 (390)","$3.5 [72]","NA [NA]","0.08 [71]","122,353 [96]","174,551 [90]","373,766 [66]"
"391","2721","Cliffside, Cleveland, NC",5554.5,"Coal",NA,"227.3 (391)","$49.4 [93]","NA [NA]","5.36 [96]","549 [18]","5,645 [41]","203,832 [55]"
"392","1040","Whitewater Valley, Wayne, IN",41.1,"Coal",NA,"227.3 (392)","$29.8 [91]","0 [17]","0.06 [68]","10,305 [67]","13,818 [54]","76,447 [33]"
"393","2277","Sheldon, Lancaster, NE",905.1,"Coal",NA,"227.2 (393)","$65.5 [94]","1 [32]","1.09 [89]","30 [0]","119 [0]","84,873 [35]"
"394","56701","Haworth Water Treatment Plant, Bergen, NJ",14.5,"Oil",NA,"227.1 (394)","$39.3 [92]","NA [NA]","0.01 [44]","36,033 [85]","134,490 [88]","7,026,300 [98]"
"395","6761","Rawhide Energy Station, Larimer, CO",66.9,"Gas",NA,"227 (395)","$7.9 [83]","2.8 [37]","1.92 [92]","NA [NA]","613 [9]","86,703 [35]"
"396","55516","Dynegy Fayette II, LLC, Fayette, PA",2824.6,"Gas",NA,"226.8 (396)","$4.3 [76]","0 [17]","1.95 [92]","2,084 [41]","4,984 [39]","124,059 [45]"
"397","3944","Harrison Power Station, Harrison, WV",13251,"Coal",NA,"226.7 (397)","$423.5 [99]","NA [NA]","13.26 [100]","757 [23]","2,523 [29]","71,156 [31]"
"398","55313","Ingleside Cogeneration, San Patricio, TX",2016.4,"Gas",NA,"226.5 (398)","$11.9 [86]","NA [NA]","1.47 [91]","1,824 [38]","14,330 [54]","224,662 [57]"
"399","61838","Cleveland Thermal, Cuyahoga, OH",2.9,"Gas",NA,"226.3 (399)","$2.9 [69]","NA [NA]","0.08 [71]","45,881 [88]","215,203 [92]","702,375 [78]"
"400","1599","Canal Station, Barnstable, MA",139.1,"Oil",NA,"226.2 (400)","$11.9 [86]","0.4 [27]","0.12 [75]","1,199 [31]","4,305 [36]","128,125 [45]"
"401","6113","Gibson, Gibson, IN",17631.8,"Coal",NA,"226.2 (401)","$590.4 [100]","NA [NA]","17.85 [100]","865 [26]","2,011 [24]","64,672 [30]"
"402","57788","US GSA Heating and Transmission, District of Columbia, DC",18.3,"Gas",NA,"226.1 (402)","$2.3 [65]","NA [NA]","0.04 [65]","124,698 [96]","483,084 [97]","2,218,174 [93]"
"403","10123","Hoffmann LaRoche, Essex, NJ",29.6,"Gas",NA,"226 (403)","$3.3 [71]","NA [NA]","0.03 [57]","110,494 [96]","455,263 [97]","7,169,471 [99]"
"404","6648","Sandow, Milam, TX",107.1,"Coal",NA,"225.5 (404)","$9.7 [85]","398.9 [50]","0.14 [76]","NA [NA]","1,004 [14]","65,230 [30]"
"405","56152","Freeport Energy Center, Brazoria, TX",1152,"Gas",NA,"225.5 (405)","$9.5 [84]","NA [NA]","0.75 [87]","10,123 [67]","25,316 [63]","71,646 [32]"
"406","1934","Wilmarth, Blue Earth, MN",100.1,"Other","2027","225.3 (406)","$5 [78]","0.3 [24]","0.21 [79]","7,517 [62]","14,808 [55]","34,358 [18]"
"407","55700","Mint Farm Generating Station, Cowlitz, WA",876.9,"Gas",NA,"225 (407)","$2.1 [63]","0.3 [24]","0.6 [86]","13,378 [71]","22,300 [61]","49,130 [25]"
"408","7266","Woodland Generation Station, Stanislaus, CA",45.2,"Gas",NA,"224.7 (408)","$0.6 [46]","0 [14]","0.22 [79]","62,277 [92]","156,025 [89]","623,465 [76]"
"409","2053","Rex Brown, Hinds, MS",157.9,"Gas",NA,"224.7 (409)","$0.9 [50]","0.2 [23]","0.15 [77]","36,054 [85]","94,243 [83]","230,817 [58]"
"410","54518","Formosa Plastics, East Baton Rouge, LA",278.6,"Gas",NA,"224.6 (410)","$2.9 [69]","NA [NA]","0.22 [79]","32,404 [83]","98,788 [83]","304,645 [63]"
"411","10417","Indian Orchard Plant 1, Hampden, MA",24.5,"Gas",NA,"224.6 (411)","$3.4 [72]","NA [NA]","0.09 [72]","31,581 [83]","137,202 [88]","446,799 [70]"
"412","55122","NAFTA Region Olefins Complex Cogen Fac, Jefferson, TX",520,"Gas",NA,"224.1 (412)","$5.4 [79]","NA [NA]","0.41 [83]","9,545 [66]","40,795 [72]","152,574 [49]"
"413","4005","French Island, La Crosse, WI",53.9,"Other","2023","223.9 (413)","$5.1 [78]","0.1 [18]","0.13 [76]","14,080 [72]","20,709 [60]","47,007 [24]"
"414","59812","Wolf Hollow II, Hood, TX",3507.6,"Gas",NA,"223.7 (414)","$12.2 [86]","NA [NA]","2.17 [93]","2,596 [45]","4,812 [38]","156,630 [50]"
"415","8054","Gerald Andrus, Washington, MS",854.3,"Gas","2035","223.6 (415)","$3.4 [72]","0.3 [25]","0.6 [86]","1,992 [40]","15,495 [55]","54,136 [27]"
"416","8002","Newington, Rockingham, NH",114.9,"Oil",NA,"223.5 (416)","$13.9 [87]","0.1 [19]","0.12 [75]","2,564 [45]","6,863 [44]","96,607 [39]"
"417","10361","Savannah River Mill, Effingham, GA",13.8,"Gas",NA,"223.3 (417)","$13.3 [87]","NA [NA]","0.62 [86]","4,033 [53]","6,145 [42]","210,778 [56]"
"418","7232","Santa Clara Cogen, Santa Clara, CA",45.4,"Gas",NA,"223.2 (418)","$2.3 [65]","NA [NA]","0.04 [65]","76,737 [94]","416,375 [97]","1,600,017 [88]"
"419","55117","R S Cogen LLC, Calcasieu, LA",2218.8,"Gas",NA,"223 (419)","$8.9 [84]","NA [NA]","1.6 [91]","2,217 [42]","28,738 [66]","88,096 [36]"
"420","991","IPL - Eagle Valley Generating Station, Morgan, IN",1680,"Gas",NA,"223 (420)","$5.9 [80]","0 [9]","1.12 [89]","808 [24]","5,104 [39]","437,682 [69]"
"421","2080","Montrose, Henry, MO",418.1,"Coal",NA,"222.7 (421)","$34.6 [92]","4.1 [39]","0.54 [85]","244 [7]","403 [5]","17,980 [11]"
"422","3138","New Castle, Lawrence, PA",440.3,"Gas",NA,"222.7 (422)","$68 [94]","NA [NA]","0.3 [81]","1,474 [35]","11,626 [51]","224,813 [57]"
"423","10773","Altavista Power Station, Campbell, VA",274.1,"Other","2028","222.7 (423)","$2.4 [66]","2.3 [36]","0.42 [83]","1,848 [39]","4,023 [35]","91,061 [38]"
"424","55094","MM San Diego-Miramar, San Diego, CA",50.8,"Other",NA,"222.7 (424)","$3.5 [73]","NA [NA]","0.04 [63]","34,600 [84]","163,163 [90]","1,341,851 [87]"
"425","55662","Chehalis Generation Facility, Lewis, WA",1120.6,"Gas",NA,"222.5 (425)","$4.8 [77]","0.1 [18]","0.76 [87]","2,133 [41]","5,555 [41]","89,161 [37]"
"426","1843","Shiras, Marquette, MI",125.4,"Coal",NA,"222.5 (426)","$5.6 [79]","0.4 [27]","0.19 [78]","6,243 [60]","7,262 [45]","14,983 [9]"
"427","58223","Hoag Hospital Cogen Plant, Orange, CA",5.5,"Gas",NA,"222.5 (427)","$7.3 [82]","NA [NA]","0.02 [51]","36,333 [85]","117,495 [86]","3,813,868 [96]"
"428","1507","William F Wyman, Cumberland, ME",158.7,"Oil",NA,"222.4 (428)","$22.5 [90]","0.8 [31]","0.15 [77]","376 [13]","1,881 [24]","88,652 [36]"
"429","50087","Univ of Massachusetts Medical Center, Worcester, MA",47.9,"Gas",NA,"222 (429)","$3.3 [71]","NA [NA]","0.08 [71]","50,066 [89]","93,209 [83]","399,092 [67]"
"430","4078","Weston, Marathon, WI",4599.5,"Coal",NA,"222 (430)","$36.5 [92]","NA [NA]","4.56 [96]","1,216 [31]","8,479 [48]","47,618 [24]"
"431","50200","B Braun Medical, Orange, CA",40.1,"Gas",NA,"222 (431)","$2.1 [64]","NA [NA]","0.04 [63]","92,121 [95]","388,164 [96]","4,380,028 [96]"
"432","6035","Greenwood, St Clair, MI",624.8,"Gas",NA,"221.8 (432)","$10.9 [86]","1.5 [34]","0.54 [85]","202 [5]","1,260 [17]","64,674 [30]"
"433","7527","Carson Cogeneration, Sacramento, CA",87.1,"Gas",NA,"221.8 (433)","$0.3 [35]","0.1 [19]","0.2 [78]","73,928 [93]","247,971 [93]","992,941 [83]"
"434","56426","Ameresco Chicopee Energy, Hampden, MA",48.6,"Other",NA,"221.6 (434)","$6.4 [81]","NA [NA]","0.03 [61]","30,759 [82]","142,363 [88]","444,520 [70]"
"435","50722","BP Naperville Cogeneration Facility, DuPage, IL",57.4,"Gas",NA,"221.5 (435)","$3.6 [73]","NA [NA]","0.06 [67]","13,211 [71]","70,035 [78]","2,905,876 [95]"
"436","7315","Almond Power Plant, Stanislaus, CA",169.8,"Gas",NA,"221.3 (436)","$0.7 [47]","0.1 [19]","0.1 [74]","38,932 [86]","103,191 [84]","514,424 [73]"
"437","60122","Colorado Bend II, Wharton, TX",2918,"Gas",NA,"221.3 (437)","$10.4 [85]","NA [NA]","1.89 [92]","2,937 [47]","6,392 [43]","113,244 [42]"
"438","56895","Ameresco Ox Mountain, San Mateo, CA",85.2,"Other",NA,"221.1 (438)","$10.2 [85]","NA [NA]","0.06 [67]","2,715 [46]","34,319 [69]","1,917,637 [92]"
"439","55014","Greene Valley Gas Recovery, DuPage, IL",36,"Other",NA,"221 (439)","$2.9 [69]","NA [NA]","0.04 [65]","34,783 [84]","84,005 [81]","3,041,038 [95]"
"440","7277","Lincoln, Lincoln, NC",82.5,"Oil",NA,"221 (440)","$7.6 [83]","0 [17]","0.08 [71]","1,088 [29]","6,915 [44]","740,765 [79]"
"441","55786","Edgewood Energy, Suffolk, NY",108.4,"Gas",NA,"220.9 (441)","$1.9 [62]","NA [NA]","0.07 [70]","42,845 [87]","141,898 [88]","2,505,896 [94]"
"442","59952","Potrero Hills Energy Producers, Solano, CA",63.2,"Other",NA,"220.8 (442)","$7.3 [82]","NA [NA]","0.04 [65]","8,248 [64]","58,666 [76]","812,350 [80]"
"443","2450","Reeves Generating Station, Bernalillo, NM",193.3,"Gas",NA,"220.8 (443)","$0.7 [46]","0.1 [20]","0.15 [76]","27,592 [81]","124,542 [87]","416,907 [67]"
"444","55933","Tracy Combined Cycle Power Plant, San Joaquin, CA",526,"Gas",NA,"220.6 (444)","$1.1 [53]","0 [7]","0.43 [83]","15,333 [73]","47,481 [74]","1,024,382 [83]"
"445","61643","Denton Energy Center, Denton, TX",147.3,"Gas",NA,"220.6 (445)","$6.1 [81]","NA [NA]","0.07 [70]","5,899 [59]","36,409 [70]","912,225 [82]"
"446","6061","R D Morrow Senior Generating Plant, Lamar, MS",119.3,"Coal",NA,"220.5 (446)","$2.2 [64]","24.3 [46]","0.15 [77]","834 [25]","5,592 [41]","84,372 [35]"
"447","56611","Sandy Creek Energy Station, McLennan, TX",6469.2,"Coal",NA,"220.2 (447)","$77.6 [95]","NA [NA]","6.78 [97]","683 [21]","1,393 [19]","123,395 [45]"
"448","52107","Kern River Eastridge Cogen, Kern, CA",212.9,"Gas",NA,"220.2 (448)","$3 [69]","NA [NA]","0.15 [77]","11,464 [69]","114,161 [85]","430,527 [69]"
"449","3609","Leon Creek, Bexar, TX",201.1,"Gas",NA,"220.2 (449)","$0.5 [41]","0 [14]","0.13 [76]","56,715 [90]","233,870 [93]","1,120,585 [84]"
"450","55311","BASF Freeport Works, Brazoria, TX",564.9,"Gas",NA,"220.1 (450)","$6.4 [81]","NA [NA]","0.46 [84]","12,398 [70]","24,831 [63]","74,898 [33]"
"451","1682","Cleary Flood, Bristol, MA",2.2,"Oil","2023","220 (451)","$2.4 [66]","0.1 [19]","0.05 [67]","9,577 [66]","17,042 [57]","760,302 [80]"
"452","87","Escalante, McKinley, NM",1289.9,"Coal",NA,"220 (452)","$8.5 [84]","2.7 [37]","1.47 [91]","NA [NA]","793 [11]","23,507 [14]"
"453","57798","OBP Cogen, New York, NY",32.9,"Gas",NA,"219.8 (453)","$2.5 [67]","NA [NA]","0.02 [53]","454,620 [99]","1,764,575 [99]","7,279,361 [100]"
"454","58208","Cinnamon Bay Edgeboro Landfill, Middlesex, NJ",30.5,"Other",NA,"219.8 (454)","$6 [80]","NA [NA]","0.02 [49]","38,993 [86]","150,929 [89]","3,734,285 [95]"
"455","2535","Cayuga Operating Company, LLC, Tompkins, NY",95.4,"Coal",NA,"219.8 (455)","$24.5 [91]","1.6 [35]","0.11 [74]","242 [6]","1,592 [21]","83,849 [35]"
"456","52147","C P Kelco San Diego Plant, San Diego, CA",81.6,"Gas",NA,"219.8 (456)","$1.7 [60]","NA [NA]","0.06 [68]","96,167 [95]","358,042 [96]","1,153,774 [85]"
"457","8224","North Valmy, Humboldt, NV",1449.9,"Coal","2025","219.7 (457)","$27.7 [91]","2.4 [36]","1.62 [91]","NA [NA]","NA [NA]","4,299 [3]"
"458","56869","Loraine County Project, Lorain, OH",154,"Other",NA,"219.6 (458)","$20 [90]","NA [NA]","0.11 [74]","3,447 [50]","13,978 [54]","351,600 [65]"
"459","10862","Archer Daniels Midland Lincoln, Lancaster, NE",29.5,"Coal",NA,"219.5 (459)","$10.2 [85]","NA [NA]","0.16 [77]","8,459 [65]","42,431 [72]","85,545 [35]"
"460","57928","SIUC, Jackson, IL",8.7,"Coal",NA,"219.5 (460)","$68.9 [94]","NA [NA]","0.1 [73]","14,578 [72]","16,710 [56]","60,383 [28]"
"461","55156","MM Prince William Energy, Prince William, VA",51,"Other",NA,"219.4 (461)","$5.8 [80]","NA [NA]","0.04 [63]","10,760 [68]","54,458 [75]","1,336,938 [87]"
"462","2956","Seminole (2956), Seminole, OK",1355.9,"Gas",NA,"219.3 (462)","$4.3 [76]","0.7 [30]","0.96 [88]","1,219 [31]","1,219 [16]","53,175 [26]"
"463","50572","CSL Gas Recovery, Broward, FL",44.2,"Other",NA,"219.1 (463)","$1.8 [60]","NA [NA]","0.06 [68]","49,391 [89]","219,349 [92]","1,923,351 [92]"
"464","10416","Pensacola Florida Plant, Escambia, FL",601.4,"Gas",NA,"219 (464)","$6.3 [81]","NA [NA]","0.59 [85]","2,869 [47]","20,226 [60]","166,731 [52]"
"465","50971","Tropicana Products Bradent, Manatee, FL",196.5,"Gas",NA,"218.8 (465)","$2.2 [64]","NA [NA]","0.12 [75]","40,988 [87]","92,234 [83]","432,492 [69]"
"466","50846","Gramercy Holdings LLC, St James, LA",132.7,"Gas",NA,"218.8 (466)","$7.1 [82]","NA [NA]","0.68 [87]","2,835 [46]","7,361 [45]","235,644 [58]"
